,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom
2021-02-14 00:00:00,0.2566522108,0.404641123,0.1019536657,0.0559927797,0.02049183519,0.3652539765,0.1278842998,0.0555738796,0.163584948,1.17099232,2.829973392,0.143899312,0.15964076234,0.1004505814,1.02655949,0.0292958355233,0.045046096222,0.0381775997279,0.004123030207,0.5899340011,1.207207331,0.087261561,0.2273106612,0.10783003218000001,0.04278368601,0.60358643,0.127576377,1.196560969
2021-02-15 00:00:00,0.2619363983,0.3943367912,0.1059957361,0.0570096343,0.02043218354,0.3674767374,0.1283111458,0.0557085556,0.163310095,1.16124892,2.81016667,0.15506614800000001,0.16118128772,0.0979623819,1.05910912,0.028909417,0.04491895648,0.037968864741,0.0044273809320000005,0.5854895571,1.206722516,0.086031447,0.231461794,0.10832986563,0.044392630849999996,0.6031224000000001,0.127603347,1.171159623
2021-02-16 00:00:00,0.26262791750000003,0.3759292899,0.1116223554,0.057559882400000005,0.02132545734,0.3641415304,0.1256847847,0.052209472,0.162342855,1.13225334,2.70738296,0.165571495,0.1602326537,0.0943827849,1.08742042,0.02872591025531,0.04439655233,0.036994233478,0.004775855009,0.5673714782,1.192556658,0.083577673,0.238027031,0.10776837875,0.04475868622,0.61157174,0.126627028,1.118137269
2021-02-17 00:00:00,0.2617206655,0.35155054950000003,0.11632054480000001,0.0583503972,0.022651009005,0.3581789227,0.1200658012,0.052105306000000004,0.162773989,1.08827919,2.54818918,0.175299608,0.15770891667,0.0897192806,1.09897262,0.02843384825531,0.04364503301,0.0356334775529,0.004908250427,0.5382595884,1.16513986,0.084528633,0.24564043900000002,0.10699413952,0.044508209699999995,0.61837642,0.124637734,1.045462689
2021-02-18 00:00:00,0.2565243615,0.3209489544,0.1198924959,0.0580808918,0.02364284342,0.3480399075,0.113249482,0.050215190500000007,0.163798978,1.0401852,2.38401087,0.18634668799999998,0.15264817495,0.0900690673,1.0946249099999998,0.02829734425531,0.04301259276,0.034491636036,0.004913536459,0.5049379883,1.134712847,0.083385617,0.2496526,0.10462569163,0.04407412477,0.61529676,0.121190828,0.975178922
2021-02-19 00:00:00,0.2421011629,0.2973448892,0.12065278210000001,0.0568632387,0.02451236899,0.33736339519999997,0.1072316893,0.0467861957,0.162744891,0.99583737,2.2312348099999997,0.192797457,0.14717832197,0.0901429427,1.07453676,0.028179591508400003,0.042306888717,0.033337532914,0.004884287325,0.4800084015,1.100380504,0.082111535,0.24866672,0.10219256647,0.04334077134,0.6191654200000001,0.118450628,0.931803872
2021-02-20 00:00:00,0.2319188053,0.2746810709,0.1193202741,0.055318657900000005,0.02543007989,0.3215390239,0.1010647766,0.0473052516,0.162743434,0.93148633,2.02952523,0.193158304,0.14442200635,0.0894543773,1.04855415,0.0278534805084,0.041352775671,0.031856055268,0.004820129978,0.4359210296,1.074523473,0.081499619,0.24698756200000002,0.10009679259,0.04240121044,0.61417374,0.114656001,0.8906407719999999
2021-02-21 00:00:00,0.2222473833,0.2626539063,0.1173106008,0.0542375684,0.026130437949999998,0.3066349145,0.0967919505,0.0468101094,0.160088738,0.89555102,1.88281881,0.189338617,0.14240269679,0.0919042789,1.02009316,0.0275319865084,0.040639589553,0.030875368956999997,0.004629360424,0.4131253329,1.051563902,0.08496856900000001,0.242384644,0.09919541738,0.04150200331,0.61393856,0.111789759,0.88637076
2021-02-22 00:00:00,0.2163889152,0.2534358913,0.1157188319,0.0530071757,0.026522548,0.2962634617,0.0931144624,0.0463519068,0.158256526,0.87192717,1.78989119,0.18456230299999998,0.14188263232,0.0924913434,1.00097383,0.0271648765084,0.039996744297,0.030223343943,0.004314513622,0.4053794006,1.0209540289999999,0.09112234699999999,0.2394491816,0.09866975385,0.04077051265,0.63378908,0.11022094,0.897439919
2021-02-23 00:00:00,0.2087574528,0.2434686275,0.1132585765,0.0521560941,0.02588277805,0.28948344000000004,0.0907070725,0.0466697713,0.156302199,0.8391285900000001,1.69655557,0.178148712,0.14203334822,0.0918883797,0.98189951,0.026152166253,0.039224004558,0.029726313939,0.00400987434,0.3941557845,0.987997979,0.09630015100000001,0.236195255,0.09878127132999999,0.040097711179999995,0.64032572,0.1080724,0.878449092
